,MRPS,Evaluations,MRPS std,Evaluations std
10,199.2,1662.4,43.296189208751386,326.50272893193403
20,528,6642.56,109.22270826160648,1330.5681577431499
40,1740.8,31047.680000000004,130.53489954797527,2276.322288605021
80,5504.0,134668.8,221.70250336881628,3967.649016735226
160,-,-,-,-
