,MRPS,Evaluations,MRPS std,Evaluations std
10,45.2,325,9.130169768410662,64.75016602295318
20,88,921.68,23.25510696599781,224.5443956103113
40,141.6,2083.76,29.729446681699272,421.1294603800594
80,296.0,6067.84,40.63496031744094,788.2890677917587
160,-,-,-,-
